model_name,accuracy
model_0_0.pth,1.0
model_0_1.pth,0.999
model_0_2.pth,1.0
model_0_3.pth,0.905
model_0_4.pth,0.999
model_0_5.pth,0.999
model_0_6.pth,1.0
model_0_7.pth,0.999
model_0_8.pth,0.894
model_0_9.pth,0.99
model_0_10.pth,0.998
model_0_11.pth,0.999
model_0_12.pth,1.0
model_0_13.pth,0.999
model_0_14.pth,0.999
model_0_15.pth,0.999
model_0_16.pth,0.997
model_0_17.pth,0.999
model_0_18.pth,1.0
model_0_19.pth,0.999
model_0_20.pth,0.999
model_0_21.pth,0.885
model_0_22.pth,1.0
model_0_23.pth,0.999
model_0_24.pth,0.998
model_0_25.pth,0.997
model_0_26.pth,0.999
model_0_27.pth,1.0
model_0_28.pth,0.885
model_0_29.pth,1.0
model_0_30.pth,0.997
model_0_31.pth,1.0
model_0_32.pth,0.999
model_0_33.pth,0.999
model_0_34.pth,0.999
model_0_35.pth,0.999
model_0_36.pth,0.999
model_0_37.pth,0.999
model_0_38.pth,0.905
model_0_39.pth,0.999
model_0_40.pth,1.0
model_0_41.pth,0.993
model_0_42.pth,0.999
model_0_43.pth,0.999
model_0_44.pth,0.999
model_0_45.pth,0.999
model_0_46.pth,0.999
model_0_47.pth,0.999
model_0_48.pth,0.999
model_0_49.pth,0.999
model_0_50.pth,0.897
model_0_51.pth,0.898
model_0_52.pth,0.999
model_0_53.pth,1.0
model_0_54.pth,0.999
model_0_55.pth,1.0
model_0_56.pth,0.999
model_0_57.pth,0.903
model_0_58.pth,0.999
model_0_59.pth,0.902
model_0_60.pth,0.904
model_0_61.pth,0.901
model_0_62.pth,0.893
model_0_63.pth,0.891
model_0_64.pth,0.999
model_0_65.pth,0.999
model_0_66.pth,0.885
model_0_67.pth,1.0
model_0_68.pth,0.898
model_0_69.pth,1.0
model_0_70.pth,0.999
model_0_71.pth,0.882
model_0_72.pth,0.999
model_0_73.pth,1.0
model_0_74.pth,0.999
model_0_75.pth,1.0
model_0_76.pth,0.999
model_0_77.pth,0.999
model_0_78.pth,0.999
model_0_79.pth,0.997
model_0_80.pth,0.999
model_0_81.pth,0.999
model_0_82.pth,0.999
model_0_83.pth,0.998
model_0_84.pth,0.998
model_0_85.pth,0.999
model_0_86.pth,0.999
model_0_87.pth,0.999
model_0_88.pth,0.904
model_0_89.pth,0.999
model_0_90.pth,0.999
model_0_91.pth,0.999
model_0_92.pth,0.999
model_0_93.pth,0.999
model_0_94.pth,1.0
model_0_95.pth,1.0
model_0_96.pth,0.899
model_0_97.pth,0.999
model_0_98.pth,0.999
model_0_99.pth,0.999
model_0_100.pth,0.999
model_0_101.pth,1.0
model_0_102.pth,0.999
model_0_103.pth,0.999
model_0_104.pth,0.998
model_0_105.pth,0.999
model_0_106.pth,1.0
model_0_107.pth,0.999
model_0_108.pth,0.999
model_0_109.pth,1.0
model_0_110.pth,1.0
model_0_111.pth,0.999
model_0_112.pth,0.999
model_0_113.pth,0.905
model_0_114.pth,0.999
model_0_115.pth,1.0
model_0_116.pth,0.999
model_0_117.pth,0.886
model_0_118.pth,1.0
model_0_119.pth,0.999
model_0_120.pth,0.999
model_0_121.pth,0.997
model_0_122.pth,0.999
model_0_123.pth,0.999
model_0_124.pth,0.905
model_0_125.pth,1.0
model_0_126.pth,0.999
model_0_127.pth,0.999
model_0_128.pth,0.898
model_0_129.pth,0.999
model_0_130.pth,0.879
model_0_131.pth,0.999
model_0_132.pth,1.0
model_0_133.pth,0.996
model_0_134.pth,0.999
model_0_135.pth,0.999
model_0_136.pth,0.999
model_0_137.pth,0.998
model_0_138.pth,1.0
model_0_139.pth,0.999
model_0_140.pth,0.999
model_0_141.pth,0.999
model_0_142.pth,0.999
model_0_143.pth,1.0
model_0_144.pth,0.999
model_0_145.pth,0.999
model_0_146.pth,1.0
model_0_147.pth,0.999
model_0_148.pth,0.999
model_0_149.pth,0.999
model_0_150.pth,0.999
model_0_151.pth,0.999
model_0_152.pth,0.899
model_0_153.pth,0.999
model_0_154.pth,0.997
model_0_155.pth,0.894
model_0_156.pth,0.894
model_0_157.pth,0.999
model_0_158.pth,0.997
model_0_159.pth,1.0
model_0_160.pth,1.0
model_0_161.pth,1.0
model_0_162.pth,0.999
model_0_163.pth,0.999
model_0_164.pth,1.0
model_0_165.pth,1.0
model_0_166.pth,1.0
model_0_167.pth,0.999
model_0_168.pth,0.999
model_0_169.pth,0.999
model_0_170.pth,0.999
model_0_171.pth,0.999
model_0_172.pth,0.998
model_0_173.pth,0.999
model_0_174.pth,0.999
model_0_175.pth,0.999
model_0_176.pth,0.999
model_0_177.pth,0.999
model_0_178.pth,0.999
model_0_179.pth,1.0
model_0_180.pth,0.999
model_0_181.pth,0.999
model_0_182.pth,1.0
model_0_183.pth,0.886
model_0_184.pth,0.999
model_0_185.pth,0.999
model_0_186.pth,0.999
model_0_187.pth,0.999
model_0_188.pth,0.999
model_0_189.pth,0.998
model_0_190.pth,0.999
model_0_191.pth,0.998
model_0_192.pth,0.999
model_0_193.pth,0.999
model_0_194.pth,0.999
model_0_195.pth,0.998
model_0_196.pth,0.999
model_0_197.pth,0.999
model_0_198.pth,0.999
model_0_199.pth,0.999
model_45_0.pth,0.999
model_45_1.pth,0.999
model_45_2.pth,1.0
model_45_3.pth,0.998
model_45_4.pth,0.999
model_45_5.pth,1.0
model_45_6.pth,0.999
model_45_7.pth,0.885
model_45_8.pth,0.998
model_45_9.pth,0.999
model_45_10.pth,1.0
model_45_11.pth,0.999
model_45_12.pth,0.897
model_45_13.pth,0.999
model_45_14.pth,0.898
model_45_15.pth,0.999
model_45_16.pth,0.897
model_45_17.pth,0.999
model_45_18.pth,0.904
model_45_19.pth,0.998
model_45_20.pth,1.0
model_45_21.pth,0.998
model_45_22.pth,0.997
model_45_23.pth,0.997
model_45_24.pth,0.999
model_45_25.pth,0.999
model_45_26.pth,0.998
model_45_27.pth,0.999
model_45_28.pth,0.998
model_45_29.pth,1.0
model_45_30.pth,0.999
model_45_31.pth,0.999
model_45_32.pth,1.0
model_45_33.pth,0.997
model_45_34.pth,0.999
model_45_35.pth,0.999
model_45_36.pth,1.0
model_45_37.pth,0.999
model_45_38.pth,0.999
model_45_39.pth,1.0
model_45_40.pth,0.999
model_45_41.pth,0.998
model_45_42.pth,1.0
model_45_43.pth,0.885
model_45_44.pth,0.997
model_45_45.pth,0.896
model_45_46.pth,1.0
model_45_47.pth,0.998
model_45_48.pth,0.999
model_45_49.pth,0.999
model_45_50.pth,0.999
model_45_51.pth,0.999
model_45_52.pth,0.887
model_45_53.pth,0.998
model_45_54.pth,0.999
model_45_55.pth,1.0
model_45_56.pth,0.886
model_45_57.pth,1.0
model_45_58.pth,1.0
model_45_59.pth,0.999
model_45_60.pth,1.0
model_45_61.pth,0.848
