model_name,accuracy
model_22_0.pth,1.0
model_22_1.pth,0.999
model_22_2.pth,0.999
model_22_3.pth,0.998
model_22_4.pth,0.999
model_22_5.pth,0.999
model_22_6.pth,0.999
model_22_7.pth,0.999
model_22_8.pth,0.998
model_22_9.pth,0.999
model_22_10.pth,0.999
model_22_11.pth,0.999
model_22_12.pth,0.999
model_22_13.pth,0.999
model_22_14.pth,0.999
model_22_15.pth,0.999
model_22_16.pth,0.999
model_22_17.pth,0.999
model_22_18.pth,0.999
model_22_19.pth,1.0
model_22_20.pth,0.999
model_22_21.pth,0.999
model_22_22.pth,1.0
model_22_23.pth,1.0
model_22_24.pth,0.999
model_22_25.pth,1.0
model_22_26.pth,1.0
model_22_27.pth,0.999
model_22_28.pth,0.998
model_22_29.pth,0.999
model_22_30.pth,0.999
model_22_31.pth,1.0
model_22_32.pth,1.0
model_22_33.pth,0.999
model_22_34.pth,0.998
model_22_35.pth,0.995
model_22_36.pth,0.999
model_22_37.pth,0.999
model_22_38.pth,0.999
model_22_39.pth,0.999
model_22_40.pth,0.998
model_22_41.pth,0.999
model_22_42.pth,0.999
model_22_43.pth,0.999
model_22_44.pth,0.999
model_22_45.pth,0.999
model_22_46.pth,1.0
model_22_47.pth,0.999
model_22_48.pth,0.999
model_22_49.pth,0.998
model_22_50.pth,0.999
model_22_51.pth,0.999
model_22_52.pth,0.999
model_22_53.pth,0.999
model_22_54.pth,0.999
model_22_55.pth,0.997
model_22_56.pth,1.0
model_22_57.pth,1.0
model_22_58.pth,0.994
model_22_59.pth,1.0
model_22_60.pth,0.999
model_22_61.pth,0.999
model_22_62.pth,0.999
model_22_63.pth,1.0
model_22_64.pth,0.999
model_22_65.pth,0.999
model_22_66.pth,0.999
model_22_67.pth,0.999
model_22_68.pth,0.999
model_22_69.pth,0.999
model_22_70.pth,0.999
model_22_71.pth,1.0
model_22_72.pth,0.999
model_22_73.pth,0.999
model_22_74.pth,0.999
model_22_75.pth,1.0
model_22_76.pth,0.994
model_22_77.pth,0.999
model_22_78.pth,0.999
model_22_79.pth,0.998
model_22_80.pth,0.999
model_22_81.pth,0.999
model_22_82.pth,1.0
model_22_83.pth,0.999
model_22_84.pth,0.999
model_22_85.pth,0.999
model_22_86.pth,1.0
model_22_87.pth,0.999
model_22_88.pth,1.0
model_22_89.pth,0.999
model_22_90.pth,0.999
model_22_91.pth,1.0
model_22_92.pth,0.997
model_22_93.pth,0.999
model_22_94.pth,0.998
model_22_95.pth,0.997
model_22_96.pth,1.0
model_22_97.pth,0.999
model_22_98.pth,0.998
model_22_99.pth,1.0
model_22_100.pth,1.0
model_22_101.pth,0.999
model_22_102.pth,0.998
model_22_103.pth,0.999
model_22_104.pth,0.999
model_22_105.pth,0.999
model_22_106.pth,0.999
model_22_107.pth,0.999
model_22_108.pth,0.999
model_22_109.pth,0.999
model_22_110.pth,1.0
model_22_111.pth,0.999
model_22_112.pth,0.999
model_22_113.pth,0.999
model_22_114.pth,1.0
model_22_115.pth,0.995
model_22_116.pth,0.999
model_22_117.pth,0.999
model_22_118.pth,0.999
model_22_119.pth,0.999
model_22_120.pth,0.999
model_22_121.pth,0.999
model_22_122.pth,0.999
model_22_123.pth,0.999
model_22_124.pth,0.999
model_22_125.pth,0.999
model_22_126.pth,0.999
model_22_127.pth,0.999
model_22_128.pth,1.0
model_22_129.pth,0.999
model_22_130.pth,1.0
model_22_131.pth,0.998
model_22_132.pth,1.0
model_22_133.pth,1.0
model_22_134.pth,0.999
model_22_135.pth,0.999
model_22_136.pth,0.999
model_22_137.pth,0.999
model_22_138.pth,0.999
model_22_139.pth,0.999
model_22_140.pth,0.999
model_22_141.pth,0.999
model_22_142.pth,0.999
model_22_143.pth,0.999
model_22_144.pth,0.999
model_22_145.pth,0.999
model_22_146.pth,0.999
model_22_147.pth,0.999
model_22_148.pth,0.999
model_22_149.pth,0.999
model_22_150.pth,0.999
model_22_151.pth,0.998
model_22_152.pth,1.0
model_22_153.pth,1.0
model_22_154.pth,0.999
model_22_155.pth,0.999
model_22_156.pth,0.999
model_22_157.pth,0.997
model_22_158.pth,0.999
model_22_159.pth,0.999
model_22_160.pth,1.0
model_22_161.pth,1.0
model_22_162.pth,0.999
model_22_163.pth,0.999
model_22_164.pth,0.999
model_22_165.pth,0.999
model_22_166.pth,0.999
model_22_167.pth,0.999
model_22_168.pth,0.999
model_22_169.pth,0.999
model_22_170.pth,0.999
model_22_171.pth,0.998
model_22_172.pth,0.999
model_22_173.pth,0.999
model_22_174.pth,0.999
model_22_175.pth,0.999
model_22_176.pth,0.999
model_22_177.pth,1.0
model_22_178.pth,0.997
model_22_179.pth,1.0
model_22_180.pth,1.0
model_22_181.pth,0.999
model_22_182.pth,0.999
model_22_183.pth,1.0
model_22_184.pth,0.998
model_22_185.pth,1.0
model_22_186.pth,0.999
model_22_187.pth,0.998
model_22_188.pth,1.0
model_22_189.pth,0.999
model_22_190.pth,0.999
model_22_191.pth,0.999
model_22_192.pth,0.999
model_22_193.pth,0.999
model_22_194.pth,1.0
model_22_195.pth,0.999
model_22_196.pth,0.999
model_22_197.pth,0.999
model_22_198.pth,0.999
model_22_199.pth,0.999
model_22_200.pth,1.0
model_22_201.pth,0.999
model_22_202.pth,1.0
model_22_203.pth,0.999
model_22_204.pth,0.999
model_22_205.pth,1.0
model_22_206.pth,1.0
model_22_207.pth,0.999
model_22_208.pth,0.999
model_22_209.pth,0.999
model_22_210.pth,0.999
model_22_211.pth,1.0
model_22_212.pth,0.998
model_22_213.pth,1.0
model_22_214.pth,0.999
model_22_215.pth,0.999
model_22_216.pth,0.994
model_22_217.pth,0.999
model_22_218.pth,0.999
model_22_219.pth,0.999
model_22_220.pth,0.999
model_22_221.pth,0.999
model_22_222.pth,0.999
model_22_223.pth,0.999
model_22_224.pth,0.999
model_22_225.pth,0.999
model_22_226.pth,0.999
model_22_227.pth,0.999
model_22_228.pth,0.999
model_22_229.pth,0.999
model_22_230.pth,0.995
model_22_231.pth,0.999
model_22_232.pth,0.999
model_22_233.pth,0.999
model_22_234.pth,0.998
model_22_235.pth,0.997
model_22_236.pth,0.999
model_22_237.pth,0.999
model_22_238.pth,0.997
model_22_239.pth,0.997
model_22_240.pth,0.999
model_22_241.pth,0.999
model_22_242.pth,0.999
model_22_243.pth,1.0
model_22_244.pth,0.998
model_22_245.pth,0.999
model_22_246.pth,1.0
model_22_247.pth,0.999
model_22_248.pth,0.999
model_22_249.pth,0.997
model_22_250.pth,1.0
model_22_251.pth,1.0
model_22_252.pth,0.997
model_22_253.pth,0.999
model_22_254.pth,1.0
model_22_255.pth,0.999
model_22_256.pth,0.998
model_22_257.pth,0.999
model_22_258.pth,1.0
model_22_259.pth,0.999
model_22_260.pth,0.999
model_22_261.pth,0.999
model_22_262.pth,0.999
model_22_263.pth,0.999
model_22_264.pth,0.999
model_22_265.pth,0.999
model_22_266.pth,1.0
model_22_267.pth,1.0
model_22_268.pth,0.997
model_22_269.pth,0.999
model_22_270.pth,0.999
model_22_271.pth,1.0
model_22_272.pth,0.999
model_22_273.pth,0.999
model_22_274.pth,0.999
model_22_275.pth,0.999
model_22_276.pth,0.999
model_22_277.pth,0.999
model_22_278.pth,0.998
model_22_279.pth,0.999
model_22_280.pth,0.999
model_22_281.pth,1.0
model_22_282.pth,0.999
model_22_283.pth,0.997
model_22_284.pth,0.999
model_22_285.pth,0.999
model_22_286.pth,0.999
model_22_287.pth,0.999
model_22_288.pth,0.999
model_22_289.pth,1.0
model_22_290.pth,0.999
model_22_291.pth,0.998
model_22_292.pth,0.999
model_22_293.pth,0.999
model_22_294.pth,0.999
model_22_295.pth,0.998
model_22_296.pth,1.0
model_22_297.pth,0.999
model_22_298.pth,0.999
model_22_299.pth,1.0
model_22_300.pth,0.999
model_22_301.pth,0.999
model_22_302.pth,0.999
model_22_303.pth,0.999
model_22_304.pth,0.999
model_22_305.pth,0.999
model_22_306.pth,0.999
model_22_307.pth,0.999
model_22_308.pth,1.0
model_22_309.pth,0.994
model_22_310.pth,0.997
model_22_311.pth,1.0
model_22_312.pth,0.999
model_22_313.pth,0.999
model_22_314.pth,0.999
model_22_315.pth,0.999
model_22_316.pth,0.999
model_22_317.pth,0.998
model_22_318.pth,0.999
model_22_319.pth,1.0
model_22_320.pth,0.999
model_22_321.pth,0.999
model_22_322.pth,0.999
model_22_323.pth,1.0
model_22_324.pth,1.0
model_22_325.pth,0.998
model_22_326.pth,0.999
model_22_327.pth,1.0
model_22_328.pth,0.999
model_22_329.pth,0.999
model_22_330.pth,0.999
model_22_331.pth,0.999
model_22_332.pth,0.999
model_22_333.pth,0.999
model_22_334.pth,0.999
model_22_335.pth,0.993
model_22_336.pth,0.999
model_22_337.pth,0.999
model_22_338.pth,1.0
model_22_339.pth,0.999
model_22_340.pth,0.998
model_22_341.pth,0.999
model_22_342.pth,0.999
model_22_343.pth,0.999
model_22_344.pth,0.999
model_22_345.pth,0.999
model_22_346.pth,0.999
model_22_347.pth,0.999
model_22_348.pth,0.999
model_22_349.pth,0.999
model_22_350.pth,1.0
model_22_351.pth,0.999
model_22_352.pth,0.999
model_22_353.pth,0.999
model_22_354.pth,0.999
model_22_355.pth,0.999
model_22_356.pth,0.999
model_22_357.pth,0.999
model_22_358.pth,0.999
model_22_359.pth,0.999
model_22_360.pth,0.998
model_22_361.pth,1.0
model_22_362.pth,0.999
model_22_363.pth,1.0
model_22_364.pth,1.0
model_22_365.pth,0.999
model_22_366.pth,0.999
model_22_367.pth,1.0
model_22_368.pth,0.999
model_22_369.pth,0.999
model_22_370.pth,1.0
model_22_371.pth,1.0
model_22_372.pth,0.999
model_22_373.pth,0.999
model_22_374.pth,0.999
model_22_375.pth,0.999
model_22_376.pth,1.0
model_22_377.pth,0.999
model_22_378.pth,0.999
model_22_379.pth,0.999
model_22_380.pth,1.0
model_22_381.pth,1.0
model_22_382.pth,0.997
model_22_383.pth,0.999
model_22_384.pth,1.0
model_22_385.pth,0.999
model_22_386.pth,0.999
model_22_387.pth,0.999
model_22_388.pth,0.997
model_22_389.pth,0.999
model_22_390.pth,0.999
model_22_391.pth,0.997
model_22_392.pth,0.999
model_22_393.pth,0.999
model_22_394.pth,0.999
model_22_395.pth,0.999
model_22_396.pth,0.999
model_22_397.pth,0.999
model_22_398.pth,1.0
model_22_399.pth,0.999
model_22_400.pth,1.0
model_22_401.pth,0.999
model_22_402.pth,0.999
model_22_403.pth,0.999
model_22_404.pth,1.0
model_22_405.pth,0.999
model_22_406.pth,0.999
model_22_407.pth,0.999
model_22_408.pth,1.0
model_22_409.pth,0.999
model_22_410.pth,0.999
model_22_411.pth,0.999
model_22_412.pth,0.999
model_22_413.pth,0.997
model_22_414.pth,0.999
model_22_415.pth,0.999
model_22_416.pth,1.0
model_22_417.pth,1.0
model_22_418.pth,0.999
model_22_419.pth,0.999
model_22_420.pth,0.999
model_22_421.pth,1.0
model_22_422.pth,1.0
model_22_423.pth,0.999
model_22_424.pth,0.999
model_22_425.pth,0.999
model_22_426.pth,0.999
model_22_427.pth,1.0
model_22_428.pth,1.0
model_22_429.pth,0.999
model_22_430.pth,1.0
model_22_431.pth,0.999
model_22_432.pth,1.0
model_22_433.pth,0.999
model_22_434.pth,0.999
model_22_435.pth,1.0
model_22_436.pth,0.998
model_22_437.pth,0.999
model_22_438.pth,1.0
model_22_439.pth,0.999
model_22_440.pth,0.998
model_22_441.pth,0.999
model_22_442.pth,1.0
model_22_443.pth,0.999
model_22_444.pth,0.999
model_22_445.pth,0.998
model_22_446.pth,1.0
model_22_447.pth,0.999
model_22_448.pth,0.999
model_22_449.pth,0.999
model_22_450.pth,1.0
model_22_451.pth,0.999
model_22_452.pth,1.0
model_22_453.pth,0.998
model_22_454.pth,0.999
model_22_455.pth,0.999
model_22_456.pth,0.998
model_22_457.pth,0.999
model_22_458.pth,0.999
model_22_459.pth,0.999
model_22_460.pth,0.999
model_22_461.pth,0.999
model_22_462.pth,0.999
model_22_463.pth,0.999
model_22_464.pth,0.999
model_22_465.pth,1.0
model_22_466.pth,0.999
model_22_467.pth,0.999
model_22_468.pth,0.999
model_22_469.pth,0.999
model_22_470.pth,0.999
model_22_471.pth,0.999
model_22_472.pth,0.999
model_22_473.pth,0.999
model_22_474.pth,0.999
model_22_475.pth,0.999
model_22_476.pth,0.998
model_22_477.pth,0.998
model_22_478.pth,0.999
model_22_479.pth,1.0
model_22_480.pth,0.997
model_22_481.pth,0.999
model_22_482.pth,0.998
model_22_483.pth,1.0
model_22_484.pth,0.997
model_22_485.pth,0.999
model_22_486.pth,0.997
model_22_487.pth,1.0
model_22_488.pth,0.999
model_22_489.pth,0.999
model_22_490.pth,1.0
model_22_491.pth,0.999
model_22_492.pth,0.999
model_22_493.pth,0.999
model_22_494.pth,0.999
model_22_495.pth,0.999
model_22_496.pth,0.999
model_22_497.pth,0.999
model_22_498.pth,0.999
model_22_499.pth,1.0
model_22_500.pth,0.999
model_22_501.pth,1.0
model_22_502.pth,0.998
model_22_503.pth,0.999
model_22_504.pth,0.998
model_22_505.pth,0.998
model_22_506.pth,1.0
model_22_507.pth,0.999
model_22_508.pth,0.999
model_22_509.pth,0.997
model_22_510.pth,0.999
model_22_511.pth,0.999
model_22_512.pth,0.999
model_22_513.pth,1.0
model_22_514.pth,0.999
model_22_515.pth,0.999
model_22_516.pth,0.997
model_22_517.pth,1.0
model_22_518.pth,0.999
model_22_519.pth,1.0
model_22_520.pth,0.999
model_22_521.pth,0.999
model_22_522.pth,0.999
model_22_523.pth,0.999
model_22_524.pth,0.995
model_22_525.pth,0.999
model_22_526.pth,0.999
model_22_527.pth,0.999
model_22_528.pth,0.999
model_22_529.pth,0.999
model_22_530.pth,0.998
model_22_531.pth,1.0
model_22_532.pth,0.998
model_22_533.pth,1.0
model_22_534.pth,0.999
model_22_535.pth,1.0
model_22_536.pth,1.0
model_22_537.pth,1.0
model_22_538.pth,0.999
model_22_539.pth,0.997
model_22_540.pth,1.0
model_22_541.pth,1.0
model_22_542.pth,0.999
model_22_543.pth,0.999
model_22_544.pth,0.999
model_22_545.pth,0.998
model_22_546.pth,0.999
model_22_547.pth,0.999
model_22_548.pth,0.998
model_22_549.pth,0.999
model_22_550.pth,1.0
model_22_551.pth,0.999
model_22_552.pth,0.999
model_22_553.pth,0.999
model_22_554.pth,1.0
model_22_555.pth,0.999
model_22_556.pth,1.0
model_22_557.pth,0.999
model_22_558.pth,0.999
model_22_559.pth,1.0
model_22_560.pth,0.999
model_22_561.pth,0.999
model_22_562.pth,0.999
model_22_563.pth,0.999
model_22_564.pth,0.998
model_22_565.pth,0.999
model_22_566.pth,1.0
model_22_567.pth,0.999
model_22_568.pth,0.999
model_22_569.pth,0.999
model_22_570.pth,0.999
model_22_571.pth,0.999
model_22_572.pth,0.999
model_22_573.pth,0.997
model_22_574.pth,0.999
model_22_575.pth,0.999
model_22_576.pth,1.0
model_22_577.pth,0.999
model_22_578.pth,0.999
model_22_579.pth,0.999
model_22_580.pth,0.999
model_22_581.pth,0.999
model_22_582.pth,0.999
model_22_583.pth,1.0
model_22_584.pth,0.999
model_22_585.pth,0.999
model_22_586.pth,0.999
model_22_587.pth,0.999
model_22_588.pth,0.999
model_22_589.pth,0.999
model_22_590.pth,0.999
model_22_591.pth,0.999
model_22_592.pth,0.998
model_22_593.pth,0.999
model_22_594.pth,0.997
model_22_595.pth,1.0
model_22_596.pth,0.998
model_22_597.pth,0.999
model_22_598.pth,0.999
model_22_599.pth,0.999
model_22_600.pth,0.999
model_22_601.pth,0.997
model_22_602.pth,0.999
model_22_603.pth,0.999
model_22_604.pth,0.999
model_22_605.pth,0.999
model_22_606.pth,0.999
model_22_607.pth,0.999
model_22_608.pth,0.999
model_22_609.pth,1.0
model_22_610.pth,0.999
model_22_611.pth,0.999
model_22_612.pth,0.999
model_22_613.pth,0.998
model_22_614.pth,0.999
model_22_615.pth,1.0
model_22_616.pth,0.997
model_22_617.pth,0.999
model_22_618.pth,0.999
model_22_619.pth,0.999
model_22_620.pth,0.999
model_22_621.pth,0.999
model_22_622.pth,0.998
model_22_623.pth,1.0
model_22_624.pth,0.999
model_22_625.pth,0.999
model_22_626.pth,0.999
model_22_627.pth,0.999
model_22_628.pth,0.999
model_22_629.pth,1.0
model_22_630.pth,0.999
model_22_631.pth,0.997
model_22_632.pth,0.999
model_22_633.pth,0.998
model_22_634.pth,0.999
model_22_635.pth,0.999
model_22_636.pth,0.999
model_22_637.pth,0.994
model_22_638.pth,0.998
model_22_639.pth,0.999
model_22_640.pth,0.999
model_22_641.pth,0.999
model_22_642.pth,1.0
model_22_643.pth,0.999
model_22_644.pth,0.997
model_22_645.pth,1.0
model_22_646.pth,0.997
model_22_647.pth,0.999
model_22_648.pth,0.999
model_22_649.pth,1.0
model_22_650.pth,0.999
model_22_651.pth,1.0
model_22_652.pth,0.999
model_22_653.pth,1.0
model_22_654.pth,1.0
model_22_655.pth,0.999
model_22_656.pth,1.0
model_22_657.pth,0.999
model_22_658.pth,1.0
model_22_659.pth,0.999
model_22_660.pth,1.0
model_22_661.pth,0.998
model_22_662.pth,0.999
model_22_663.pth,1.0
model_22_664.pth,0.999
model_22_665.pth,0.999
model_22_666.pth,0.999
model_22_667.pth,0.999
model_22_668.pth,0.999
model_22_669.pth,0.999
model_22_670.pth,0.999
model_22_671.pth,0.999
model_22_672.pth,0.999
model_22_673.pth,1.0
model_22_674.pth,1.0
model_22_675.pth,0.999
model_22_676.pth,0.999
model_22_677.pth,0.999
model_22_678.pth,0.999
model_22_679.pth,0.999
model_22_680.pth,0.999
model_22_681.pth,0.999
model_22_682.pth,0.998
model_22_683.pth,0.999
model_22_684.pth,0.998
model_22_685.pth,1.0
model_22_686.pth,0.999
model_22_687.pth,0.999
model_22_688.pth,0.999
model_22_689.pth,0.999
model_22_690.pth,0.999
model_22_691.pth,0.999
model_22_692.pth,0.999
model_22_693.pth,0.999
model_22_694.pth,1.0
model_22_695.pth,0.999
model_22_696.pth,0.999
model_22_697.pth,1.0
model_22_698.pth,0.999
model_22_699.pth,0.999
model_22_700.pth,1.0
model_22_701.pth,0.999
model_22_702.pth,1.0
model_22_703.pth,0.999
model_22_704.pth,0.999
model_22_705.pth,1.0
model_22_706.pth,0.999
model_22_707.pth,0.999
model_22_708.pth,1.0
model_22_709.pth,0.999
model_22_710.pth,0.999
model_22_711.pth,0.999
model_22_712.pth,0.997
model_22_713.pth,0.999
model_22_714.pth,0.999
model_22_715.pth,0.999
model_22_716.pth,0.999
model_22_717.pth,0.998
model_22_718.pth,0.997
model_22_719.pth,0.999
model_22_720.pth,0.999
model_22_721.pth,0.999
model_22_722.pth,0.999
model_22_723.pth,1.0
model_22_724.pth,0.999
model_22_725.pth,0.999
model_22_726.pth,0.999
model_22_727.pth,0.999
model_22_728.pth,0.999
model_22_729.pth,0.999
model_22_730.pth,0.999
model_22_731.pth,0.999
model_22_732.pth,0.999
model_22_733.pth,0.999
